,0
2022-06-01,0.0
2022-06-02,4.928571428571411
2022-06-03,9.857142857142872
2022-06-06,14.785714285714283
2022-06-07,19.71428571428572
2022-06-08,24.64285714285713
2022-06-09,29.571428571428566
2022-06-10,34.5
2022-06-13,39.428571428571416
2022-06-14,44.357142857142826
2022-06-15,49.285714285714285
2022-06-16,54.214285714285694
2022-06-17,59.14285714285716
2022-06-20,64.07142857142857
2022-06-21,69.0
2022-06-22,66.71511489614832
2022-06-23,69.63601578538744
2022-06-24,66.02063272473679
2022-06-27,61.99406266052309
2022-06-28,70.07710552372734
2022-06-29,70.07703000196622
2022-06-30,61.735621048666005
2022-07-01,65.46980024589662
2022-07-04,71.15958217530077
2022-07-05,66.50422379950456
2022-07-06,71.13172138693733
2022-07-07,71.14235686642317
2022-07-08,67.88697355079626
2022-07-11,77.80108912542586
2022-07-12,76.93462202955996
2022-07-13,71.58652263450848
2022-07-14,73.65902315353836
2022-07-15,67.55446227006175
2022-07-18,73.17691074739756
2022-07-19,75.49659702614233
2022-07-20,62.25801566296085
2022-07-21,70.03857098223807
2022-07-22,68.68937025843555
2022-07-25,75.5538416565819
2022-07-26,71.50416053281585
2022-07-27,68.48975608733463
2022-07-28,74.2945704561426
2022-07-29,67.27178911560989
2022-08-01,71.76293797362649
2022-08-02,70.34179124904905
2022-08-03,71.76785041625523
2022-08-04,60.47952035125886
2022-08-05,69.06208723379449
2022-08-08,73.86547027319713
2022-08-09,65.21629340432533
2022-08-10,74.6158807898667
2022-08-11,68.0392274629781
2022-08-12,78.01448256984698
2022-08-15,75.10965582493277
2022-08-16,68.09443831500204
2022-08-17,66.45229029901584
2022-08-18,64.95877942989458
2022-08-19,62.49898657423944
2022-08-22,59.68880774978304
2022-08-23,60.30090086676762
2022-08-24,54.233462518961716
2022-08-25,49.88920375981125
2022-08-26,41.20292831954473
2022-08-29,40.214516900988826
2022-08-30,44.032488536001445
2022-08-31,33.38191030558797
